Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,13/10/01,Inverness C,Clyde,5.0,1.0,H,2.0,0.0,H,1653.0,M. Ritchie,18.0,9.0,12.0,7.0,0.0,0.0,8.0,5.0,11.0,15.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,1.83,3.5,3.4,1.8,3.5,3.5
SC1,30/03/02,Inverness C,Airdrie,1.0,0.0,H,0.0,0.0,D,1709.0,"Hardie, C.",15.0,12.0,4.0,2.0,0.0,1.0,8.0,6.0,11.0,9.0,3.0,2.0,2.0,3.0,0.0,0.0,20.0,30.0,2.35,3.3,2.5,2.2,3.1,2.5,2.25,3.5,2.5,2.25,3.5,2.5,2.375,3.5,2.375,2.2,3.5,2.62
SC1,12/01/02,Clyde,Airdrie,0.0,1.0,A,0.0,1.0,A,1692.0,"Mitchell, G. P.",11.0,10.0,5.0,5.0,1.0,0.0,7.0,9.0,9.0,12.0,3.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,2.6,3.35,2.25,2.5,3.1,2.2,2.5,3.5,2.25,2.6,3.4,2.2,2.8,3.4,2.1,2.6,3.4,2.25
SC1,26/03/02,Ross County,Airdrie,4.0,1.0,H,1.0,1.0,D,2087.0,"Clyde, G. T.",12.0,7.0,7.0,2.0,0.0,1.0,4.0,1.0,3.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,2.37,3.4,2.42,2.3,3.1,2.3,2.25,3.4,2.62,2.375,3.4,2.375,2.25,3.6,2.5,2.4,3.4,2.4
SC1,03/11/01,Airdrie,Ross County,1.0,1.0,D,0.0,1.0,A,1516.0,J Rowbotham,18.0,8.0,5.0,3.0,0.0,0.0,7.0,3.0,4.0,16.0,6.0,4.0,1.0,1.0,0.0,0.0,10.0,10.0,1.5,3.5,5.65,1.5,3.5,4.5,,,,1.44,3.6,6.0,1.5,3.6,5.5,1.5,3.8,5.0
SC1,27/10/01,Ross County,Clyde,4.0,0.0,H,3.0,0.0,H,2311.0,A. Freeland,8.0,4.0,5.0,0.0,0.0,1.0,6.0,3.0,8.0,10.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,1.95,3.4,3.1,1.85,3.2,3.1,,,,1.85,3.5,3.3,2.0,3.4,3.0,1.83,3.5,3.4
SC1,19/09/01,Inverness C,Raith Rvs,5.0,2.0,H,3.0,0.0,H,,C. J. Mackay,,,,,,,,,,,,,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.2,3.0,2.6,2.25,3.5,2.5,2.2,3.4,2.6,2.1,3.5,2.75,2.2,3.5,2.62
SC1,13/10/01,Ayr,Falkirk,2.0,2.0,D,1.0,1.0,D,2439.0,K. E. Toner,10.0,15.0,5.0,5.0,1.0,1.0,6.0,8.0,4.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,,,,,,,1.73,3.6,3.75,1.66,3.5,4.2
SC1,22/12/01,Inverness C,Arbroath,3.0,2.0,H,2.0,1.0,H,1173.0,"Rowbotham, J",14.0,7.0,6.0,3.0,0.0,0.0,11.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.97,3.3,3.15,1.9,3.2,2.9,1.91,3.5,3.2,2.0,3.4,3.0,2.0,3.4,3.0,2.0,3.4,3.0
SC1,09/02/02,Airdrie,Ayr,1.0,2.0,A,0.0,1.0,A,1771.0,"Clark, K. W.",8.0,9.0,4.0,5.0,0.0,0.0,1.0,4.0,16.0,15.0,2.0,3.0,2.0,1.0,0.0,0.0,20.0,10.0,1.8,3.3,3.7,1.8,3.2,3.3,1.8,3.5,3.5,1.727,3.5,3.75,1.615,3.6,4.333,1.8,3.4,3.6
