Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,03/03/01,Kilmarnock,Aberdeen,0,0,D,0,0,D,6580,John Underhill,17.0,6.0,13.0,3.0,1.0,0.0,6.0,4.0,6.0,16.0,8,6,0,2,0,0,0,20,1.7,3.3,4.25,1.85,3.0,3.3,,,,1.8,3.4,3.75,1.8,3.4,3.6
SC0,14/03/01,Rangers,Dundee,0,2,A,0,1,A,45035,John Rowbotham,17.0,8.0,6.0,5.0,0.0,0.0,8.0,3.0,19.0,14.0,4,1,3,2,1,0,55,20,1.23,5.1,9.5,1.2,4.7,9.0,1.25,5.0,8.0,1.25,5.0,9.0,1.22,5.0,9.5
SC0,27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,5541,John Rowbotham,9.0,15.0,4.0,7.0,0.0,0.0,8.0,6.0,19.0,11.0,15,4,3,1,0,0,30,10,2.05,3.1,3.3,2.1,2.9,2.9,2.0,3.2,3.2,2.1,3.25,3.0,2.25,3.2,2.75
SC0,14/10/00,Kilmarnock,Dunfermline,2,1,H,1,1,D,6436,Gary Mitchell,14.0,3.0,6.0,2.0,0.0,0.0,4.0,2.0,8.0,11.0,3,2,0,5,0,0,0,50,1.61,3.4,4.45,1.65,3.1,4.0,1.55,3.5,5.0,1.57,3.4,5.5,1.57,3.5,5.0
SC0,31/01/01,Motherwell,Dunfermline,1,1,D,0,0,D,4601,Bobby Orr,12.0,8.0,6.0,3.0,1.0,1.0,9.0,3.0,9.0,17.0,4,0,2,2,0,0,20,20,1.95,3.4,3.2,2.0,2.9,3.0,1.83,3.2,3.75,1.91,3.2,3.5,1.9,3.4,3.25
SC0,04/04/01,Aberdeen,Dundee United,4,1,H,3,1,H,9962,John Fleming,10.0,14.0,5.0,6.0,0.0,1.0,2.0,9.0,14.0,11.0,5,2,1,3,0,0,10,30,2.0,3.3,3.2,1.9,2.9,3.2,2.0,3.4,3.0,2.1,3.4,2.88,2.1,3.2,3.0
SC0,11/11/00,Dundee United,Dundee,0,2,A,0,1,A,11454,Hugh Dallas,12.0,8.0,4.0,6.0,0.0,0.0,7.0,8.0,22.0,7.0,10,4,4,2,0,0,40,20,3.3,3.0,2.0,3.0,2.9,2.0,2.75,3.25,2.2,3.0,3.4,2.1,2.87,3.1,2.2
SC0,20/09/00,Dundee,Dundee United,3,0,H,0,0,D,9838,Stuart Dougal,8.0,7.0,5.0,3.0,0.0,2.0,3.0,2.0,9.0,20.0,5,3,1,4,0,1,10,65,2.05,3.3,3.05,2.0,2.9,3.0,2.2,3.25,2.75,2.0,3.25,3.25,2.1,3.2,3.0
SC0,06/05/01,Hibernian,Celtic,2,5,A,0,2,A,8728,John Rowbotham,16.0,11.0,8.0,10.0,1.0,0.0,0.0,8.0,9.0,16.0,1,1,2,1,0,1,20,35,3.4,3.1,2.0,2.9,2.9,2.1,3.75,3.5,1.73,3.75,3.5,1.75,4.0,3.4,1.72
SC0,05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,9541,Stuart Dougal,17.0,7.0,9.0,3.0,0.0,0.0,7.0,1.0,13.0,10.0,7,0,0,4,0,0,0,40,1.95,3.4,3.05,2.0,2.9,3.0,,,,2.0,3.25,3.25,1.9,3.4,3.25
SC0,30/12/00,Hibernian,Dundee United,1,0,H,0,0,D,10197,Alan Freeland,16.0,5.0,7.0,4.0,0.0,0.0,9.0,3.0,15.0,15.0,7,5,2,5,0,1,20,75,1.25,4.8,7.2,1.3,4.0,7.0,1.25,5.0,8.0,1.25,5.0,8.5,1.25,4.5,10.0
SC0,03/02/01,Kilmarnock,Motherwell,1,2,A,0,1,A,6018,John Underhill,10.0,5.0,7.0,2.0,0.0,0.0,5.0,1.0,4.0,16.0,3,4,0,2,0,0,0,20,1.8,3.3,3.7,2.0,2.9,3.0,2.0,3.4,3.0,1.8,3.4,3.75,1.72,3.5,3.8
SC0,16/12/00,Kilmarnock,Dundee,2,3,A,1,0,H,6573,Willie Young,4.0,11.0,2.0,3.0,0.0,0.0,2.0,5.0,9.0,13.0,4,5,1,5,0,0,10,50,1.65,3.5,4.5,1.7,3.1,3.8,1.73,3.5,3.75,1.75,3.4,4.0,1.8,3.3,3.75
SC0,04/03/01,Hibernian,Motherwell,1,1,D,0,0,D,8252,Kenny Clark,9.0,14.0,4.0,4.0,0.0,0.0,2.0,9.0,21.0,20.0,0,3,1,5,0,0,10,50,1.45,3.7,6.0,1.4,3.6,5.5,,,,1.44,3.75,6.5,1.36,3.75,8.0
SC0,12/05/01,St Johnstone,Dundee United,2,3,A,2,0,H,6748,Alan Freeland,4.0,8.0,3.0,5.0,0.0,0.0,4.0,4.0,15.0,13.0,3,4,3,2,1,0,55,20,2.45,3.4,2.37,2.3,3.0,2.4,2.75,3.25,2.2,2.6,3.4,2.25,2.62,3.3,2.25
SC0,16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,5055,John Underhill,10.0,7.0,4.0,3.0,0.0,0.0,3.0,5.0,14.0,16.0,4,4,0,1,0,0,0,10,2.05,3.25,3.1,1.9,2.9,3.2,2.25,3.2,2.75,2.1,3.25,3.0,2.25,3.2,2.75
SC0,10/02/01,Hibernian,St Mirren,4,2,H,1,1,D,8872,Kevin Toner,19.0,6.0,8.0,2.0,0.0,0.0,5.0,2.0,12.0,9.0,5,3,0,1,0,0,0,10,1.22,4.9,9.5,1.25,4.3,8.0,1.25,5.0,8.0,1.25,5.0,8.5,1.22,5.0,9.0
SC0,26/12/00,Motherwell,Dundee,0,3,A,0,2,A,6183,Douglas McDonald,19.0,10.0,7.0,5.0,1.0,0.0,12.0,3.0,11.0,21.0,4,2,1,5,1,1,35,75,2.25,3.1,2.7,2.1,2.9,2.9,,,,2.1,3.25,3.0,2.25,3.2,2.75
SC0,11/02/01,Celtic,Rangers,1,0,H,1,0,H,59486,Hugh Dallas,12.0,7.0,6.0,3.0,0.0,0.0,11.0,5.0,20.0,22.0,0,2,1,2,0,1,10,45,2.0,3.25,3.0,2.1,2.9,2.9,2.0,3.4,3.0,2.1,3.25,3.0,1.9,3.2,3.5
SC0,11/02/01,St Johnstone,Kilmarnock,1,2,A,0,0,D,6627,John Rowbotham,9.0,9.0,5.0,4.0,1.0,0.0,6.0,3.0,14.0,13.0,2,6,2,3,0,0,20,30,2.4,3.1,2.55,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.62,3.1,2.37
SC0,21/02/01,Aberdeen,St Mirren,3,0,H,1,0,H,9946,George Clyde,17.0,8.0,9.0,4.0,1.0,0.0,3.0,4.0,14.0,12.0,1,2,0,2,0,0,0,20,1.55,3.5,5.2,1.6,3.2,4.2,1.57,3.5,5.0,1.57,3.5,5.2,1.66,3.3,4.5
SC0,01/04/01,Aberdeen,Celtic,0,1,A,0,0,D,16067,Kenny Clark,5.0,19.0,2.0,7.0,0.0,1.0,4.0,2.0,17.0,10.0,0,6,1,1,0,0,10,10,6.25,3.65,1.45,4.7,3.4,1.5,6.5,3.6,1.44,6.5,3.75,1.44,8.0,3.75,1.36
SC0,31/03/01,Rangers,Dundee United,0,2,A,0,0,D,48382,Willie Young,17.0,11.0,8.0,7.0,1.0,0.0,10.0,7.0,13.0,11.0,5,1,1,2,0,0,10,20,1.22,5.1,10.0,1.2,4.7,9.0,1.36,4.0,7.0,1.33,4.33,7.5,1.25,5.0,8.0
