Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,17/11/02,Dunfermline,Hearts,3,1,H,0,0,D,M McCurry,15.0,13.0,8.0,4.0,15.0,13.0,7.0,6.0,1,1,0,0,2.25,3.25,2.75,2.25,3.25,2.85,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.1,3.3,2.87,1.65,1.95
SC0,21/09/02,Dunfermline,Motherwell,1,0,H,0,0,D,C Richmond,11.0,9.0,6.0,6.0,13.0,19.0,5.0,1.0,1,2,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.91,3.25,3.5,1.909,3.25,3.6,1.83,3.3,3.6,1.65,1.95
SC0,01/02/03,Dundee United,Motherwell,2,1,H,1,1,D,D Somers,13.0,9.0,8.0,2.0,20.0,21.0,7.0,6.0,3,3,1,0,2.25,3.25,2.75,2.28,3.25,2.75,2.2,3.0,2.9,2.25,3.4,2.62,2.3,3.2,2.7,2.3,3.2,2.7,2.3,3.2,2.62,1.8,1.8
SC0,02/03/03,Livingston,Rangers,1,2,A,0,2,A,J Rowbotham,9.0,7.0,3.0,4.0,10.0,14.0,8.0,7.0,0,3,0,0,10.0,5.0,1.222,10.0,5.5,1.21,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.0,1.22,10.0,5.0,1.222,9.5,5.0,1.22,1.55,2.15
SC0,09/11/02,Hearts,Aberdeen,0,0,D,0,0,D,D McDonald,11.0,6.0,6.0,4.0,18.0,15.0,2.0,4.0,0,4,0,0,1.833,3.25,3.75,1.85,3.25,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.83,3.25,3.75,1.833,3.4,3.75,1.9,3.25,3.4,1.55,2.1
SC0,24/05/03,Hibernian,Partick,2,3,A,2,1,H,J Underhill,14.0,11.0,8.0,8.0,14.0,9.0,5.0,3.0,2,2,0,0,1.533,3.5,5.5,1.6,3.6,4.8,,,,1.533,3.75,5.0,1.57,3.4,5.5,1.615,3.4,5.0,1.61,3.5,4.5,1.75,1.85
SC0,17/08/02,Celtic,Dundee United,5,0,H,3,0,H,K Clark,15.0,6.0,11.0,3.0,17.0,9.0,12.0,1.0,1,1,0,0,1.143,6.5,12.0,1.12,6.5,15.0,1.15,6.0,12.0,1.143,5.5,15.0,1.13,6.0,17.0,1.143,6.0,15.0,1.12,6.0,15.0,1.95,1.65
SC0,14/09/02,Partick,Dundee,1,1,D,1,0,H,A Freeland,14.0,9.0,9.0,5.0,10.0,13.0,7.0,2.0,0,2,0,0,2.2,3.25,2.8,2.25,3.2,2.88,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.2,3.2,2.8,1.8,1.8
SC0,14/09/02,Livingston,Rangers,0,2,A,0,0,D,K Clark,5.0,10.0,4.0,5.0,23.0,10.0,3.0,7.0,3,2,1,0,7.5,4.333,1.333,8.5,4.25,1.33,6.0,3.9,1.4,8.0,3.75,1.364,8.5,4.5,1.29,8.0,4.333,1.333,8.0,3.75,1.36,1.65,1.95
SC0,25/08/02,Rangers,Aberdeen,2,0,H,1,0,H,J Underhill,20.0,3.0,9.0,1.0,10.0,18.0,9.0,0.0,2,2,0,1,1.222,5.0,10.0,1.21,5.5,10.0,1.2,5.0,10.0,1.25,5.0,8.0,1.2,5.5,10.0,1.222,5.5,10.0,1.22,5.0,9.5,1.45,2.35
SC0,05/10/02,Motherwell,Aberdeen,1,2,A,1,0,H,K Toner,8.0,9.0,4.0,5.0,23.0,12.0,5.0,2.0,3,5,0,0,2.3,3.2,2.7,2.3,3.15,2.85,2.3,3.0,2.7,2.25,3.4,2.62,2.25,3.25,2.75,2.25,3.25,2.8,2.37,3.1,2.62,1.7,1.9
SC0,26/10/02,Motherwell,Livingston,1,5,A,0,1,A,M McCurry,15.0,11.0,7.0,8.0,11.0,16.0,13.0,1.0,1,2,0,0,2.2,3.25,2.8,2.22,3.3,2.8,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.25,2.75,2.2,3.25,2.8,2.2,3.2,2.8,1.7,1.9
SC0,26/10/02,Hearts,Dundee,1,2,A,0,1,A,J Underhill,16.0,12.0,9.0,9.0,14.0,12.0,8.0,7.0,1,1,0,0,1.8,3.4,3.75,1.83,3.4,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.8,3.3,3.75,1.7,1.9
SC0,03/11/02,Hibernian,Hearts,1,2,A,1,0,H,W Young,9.0,10.0,6.0,5.0,13.0,13.0,4.0,5.0,0,4,0,1,2.25,3.25,2.75,2.3,3.2,2.8,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.2,2.7,2.2,3.2,2.8,,
SC0,30/11/02,Partick,Kilmarnock,3,0,H,0,0,D,M McCurry,13.0,10.0,7.0,7.0,8.0,11.0,4.0,6.0,1,1,0,0,2.4,3.2,2.6,2.4,3.25,2.55,2.5,3.0,2.5,2.4,3.25,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.3,2.5,1.85,1.75
SC0,03/08/02,Partick,Dundee United,0,0,D,0,0,D,J Underhill,9.0,9.0,2.0,3.0,11.0,18.0,6.0,2.0,1,2,0,0,2.25,3.25,2.75,2.37,3.2,2.62,2.2,2.9,2.7,2.5,3.25,2.4,2.38,3.2,2.63,2.3,3.25,2.75,2.2,3.25,2.75,1.75,1.85
SC0,29/01/03,Celtic,Dundee United,2,0,H,2,0,H,J Underhill,13.0,1.0,7.0,0.0,5.0,17.0,5.0,3.0,0,2,0,0,1.1,7.0,15.0,1.1,7.0,19.0,1.1,7.0,15.0,1.1,6.5,17.0,1.11,6.5,17.0,1.111,6.5,17.0,1.1,6.5,17.0,1.35,2.7
SC0,24/05/03,Motherwell,Livingston,6,2,H,1,1,D,D McDonald,13.0,16.0,7.0,9.0,14.0,15.0,5.0,7.0,2,2,0,0,2.375,3.2,2.625,2.4,3.25,2.55,,,,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.3,3.2,2.62,1.7,1.9
SC0,04/12/02,Hibernian,Celtic,0,1,A,0,0,D,M McCurry,7.0,10.0,3.0,6.0,22.0,13.0,2.0,4.0,2,2,0,0,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.2,1.3,8.0,5.0,1.25,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.5,1.28,1.55,2.15
SC0,19/10/02,Dundee United,Livingston,2,3,A,1,0,H,H Dallas,16.0,13.0,2.0,3.0,14.0,12.0,6.0,5.0,1,1,0,0,2.0,3.25,3.25,2.1,3.25,3.4,2.0,3.1,3.2,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.2,2.1,3.2,3.0,1.95,1.7
SC0,03/05/03,Kilmarnock,Hearts,1,0,H,1,0,H,D McDonald,11.0,6.0,6.0,4.0,23.0,23.0,2.0,2.0,6,4,0,2,2.4,3.2,2.6,2.37,3.23,2.63,2.4,2.8,2.8,2.25,3.2,2.75,2.38,3.2,2.63,2.375,3.2,2.625,2.37,3.1,2.62,1.9,1.7
SC0,30/11/02,Livingston,Dundee,1,1,D,1,0,H,T Brown,16.0,13.0,11.0,6.0,20.0,10.0,7.0,6.0,2,1,0,0,2.2,3.25,2.8,2.1,3.25,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.2,2.8,1.85,1.75
