Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E2,09/10/01,Bristol City,Cardiff,1,1,D,0,1,A,13804.0,R. J. Harris,4,7,3,4,0,1,7,3,13,19.0,5,9,1,4,0,0,10,40,,,,1.8,3.2,3.3,1.8,3.25,4.0,,,,1.73,3.5,4.0,1.9,3.25,3.5
E2,08/09/01,Peterboro,Cambridge,1,0,H,0,0,D,8656.0,U. D. Rennie,18,2,4,1,1,0,9,7,15,15.0,3,4,1,2,0,0,10,20,,,,1.9,3.1,3.0,1.8,3.25,4.0,1.91,3.25,3.5,1.83,3.4,3.6,2.0,3.25,3.25
E2,29/09/01,Blackpool,Wigan,3,1,H,1,0,H,5279.0,B. Curson,11,11,6,5,1,0,4,2,16,15.0,3,8,0,3,0,0,0,30,,,,2.3,3.0,2.4,2.37,3.2,2.62,2.2,3.25,2.8,2.25,3.25,2.75,2.25,3.2,2.8
E2,15/12/01,Stoke,Wycombe,5,1,H,3,1,H,12911.0,R. J. Beeby,17,8,10,3,0,1,6,2,15,12.0,3,5,0,1,0,1,0,35,1.75,3.2,4.3,1.7,3.1,3.8,1.73,3.25,4.33,1.73,3.25,4.33,1.67,3.4,4.5,1.72,3.3,4.33
E2,06/04/02,Brentford,Huddersfield,3,0,H,3,0,H,7393.0,"Penton, C.",15,4,7,0,1,0,7,8,14,19.0,0,2,0,1,0,0,0,10,1.9,3.25,3.5,2.0,3.0,2.9,2.1,3.25,3.0,1.909,3.25,3.5,1.833,3.4,3.6,2.0,3.25,3.25
E2,12/01/02,Tranmere,Colchester,0,0,D,0,0,D,8387.0,"Pike, M. S.",11,10,7,5,0,0,5,8,10,15.0,2,1,0,1,1,0,25,10,1.67,3.35,4.55,1.65,3.2,3.9,1.67,3.4,4.5,1.62,3.4,5.0,1.62,3.4,5.0,1.66,3.5,4.33
E2,25/08/01,Chesterfield,Brentford,0,1,A,0,1,A,3571.0,M. J. Brandwood,11,7,3,1,1,0,6,4,16,19.0,3,2,1,4,0,0,10,40,,,,2.35,3.0,2.35,2.62,3.2,2.37,,,,2.5,3.2,2.5,2.25,3.25,2.75
E2,24/11/01,Oldham,Wycombe,2,0,H,2,0,H,4731.0,A. Kaye,11,9,5,2,0,0,15,4,16,9.0,0,5,1,2,0,1,10,45,2.35,3.2,2.65,2.3,2.9,2.5,2.37,3.2,2.62,2.38,3.2,2.62,2.38,3.2,2.6,2.37,3.2,2.62
E2,02/03/02,Bristol City,Brentford,0,2,A,0,0,D,11421.0,"Gallagher, D. J.",9,15,5,6,1,1,6,7,15,13.0,5,4,1,3,0,0,10,30,1.85,3.25,3.75,1.8,3.1,3.4,1.8,3.4,3.75,1.85,3.25,3.75,1.833,3.25,3.75,1.8,3.4,3.75
E2,21/11/01,Stoke,Oldham,0,0,D,0,0,D,11031.0,G. B. Frankland,9,4,4,2,0,0,8,6,15,9.0,4,5,1,0,1,0,35,0,1.52,3.55,5.6,1.55,3.3,4.5,1.57,3.6,5.0,1.53,3.5,5.5,1.53,3.4,6.0,1.53,3.4,6.0
