Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,25/09/00,Aachen,M'gladbach,1,1,D,1,1,D,22500.0,Edgar Steinborn ,,,,,,,,,,,,,4.0,3.0,0.0,0.0,40.0,30.0,2.35,3.1,2.55,2.4,2.9,2.4,2.55,2.8,2.55
D2,08/04/01,Aachen,Ulm,1,0,H,0,0,D,11100.0,Matthias Anklam ,6.0,4.0,2.0,1.0,0.0,0.0,3.0,4.0,9.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,35.0,0.0,1.7,3.3,4.2,1.75,3.1,3.6,1.6,3.35,4.6
D2,24/11/00,Duisburg,Greuther Furth,0,0,D,0,0,D,6783.0,Knut Kircher ,,,,,,,,,,,,,1.0,0.0,1.0,0.0,35.0,0.0,1.8,3.2,4.0,1.75,3.1,3.6,1.7,3.2,4.2
D2,22/10/00,Saarbrucken,Aachen,1,3,A,1,0,H,18000.0,Thomas Frank ,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,20.0,1.75,3.15,3.9,1.7,3.1,3.8,1.65,3.2,4.6
D2,18/08/00,St Pauli,Mannheim,5,0,H,4,0,H,17390.0,Helmut Fleischer,,,,,,,,,,,,,2.0,1.0,0.0,1.0,20.0,35.0,2.0,2.95,3.05,,,,2.2,2.85,3.0
D2,10/09/00,Ulm,Greuther Furth,2,2,D,0,0,D,7500.0,Hartmut Strampe ,,,,,,,,,,,,,1.0,2.0,1.0,0.0,35.0,20.0,1.85,3.05,3.65,1.75,3.1,3.6,1.9,2.9,3.75
D2,16/12/00,Oberhausen,Stuttgarter K,1,3,A,1,1,D,2935.0,Matthias Anklam ,,,,,,,,,,,,,2.0,3.0,0.0,1.0,20.0,55.0,1.6,3.4,4.95,1.6,3.2,4.2,1.65,3.2,4.5
D2,04/12/00,M'gladbach,Hannover,2,0,H,1,0,H,15700.0,Peter Sippel ,,,,,,,,,,,,,2.0,1.0,1.0,1.0,45.0,35.0,2.05,3.0,3.2,1.9,2.9,3.2,2.1,3.0,3.05
D2,09/05/01,Ahlen,Oberhausen,4,1,H,1,0,H,6220.0,Gnter Perl ,18.0,7.0,14.0,3.0,1.0,0.0,5.0,4.0,12.0,11.0,5.0,8.0,2.0,2.0,0.0,0.0,20.0,20.0,1.4,3.65,5.4,1.45,3.5,5.0,1.55,3.6,4.7
D2,17/03/01,Oberhausen,Ulm,3,1,H,2,1,H,3067.0,Babak Rafati ,6.0,11.0,2.0,4.0,0.0,1.0,4.0,3.0,20.0,23.0,2.0,7.0,2.0,3.0,1.0,1.0,45.0,55.0,1.78,3.1,4.15,1.8,2.9,3.6,1.8,3.2,3.7
D2,20/11/00,Saarbrucken,Mannheim,3,3,D,2,2,D,10000.0,Volker Wezel ,,,,,,,,,,,,,2.0,3.0,0.0,0.0,20.0,30.0,1.75,3.3,4.0,,,,1.9,2.9,3.8
D2,10/03/01,Bielefeld,Ahlen,1,1,D,0,0,D,9108.0,Stefan Weber ,7.0,6.0,2.0,3.0,1.0,0.0,13.0,3.0,10.0,14.0,3.0,4.0,2.0,1.0,0.0,0.0,20.0,10.0,1.92,3.1,3.45,1.85,2.9,3.4,2.1,2.9,3.15
D2,20/11/00,Hannover,Bielefeld,4,2,H,3,1,H,15000.0,Gnter Perl ,,,,,,,,,,,,,1.0,1.0,0.0,0.0,10.0,10.0,1.85,3.15,3.7,2.0,2.9,3.0,1.75,3.15,4.0
D2,30/04/01,Greuther Furth,Duisburg,1,0,H,0,0,D,10320.0,Uwe Kemmling ,14.0,4.0,4.0,1.0,1.0,0.0,2.0,3.0,14.0,20.0,2.0,3.0,2.0,3.0,0.0,1.0,20.0,55.0,1.7,3.2,4.2,1.6,3.3,4.0,1.6,3.5,4.4
D2,13/05/01,Ulm,Reutlingen,2,3,A,0,0,D,4500.0,Florian Meyer ,10.0,8.0,6.0,5.0,0.0,0.0,4.0,3.0,3.0,5.0,0.0,2.0,3.0,1.0,0.0,0.0,30.0,10.0,2.23,3.05,2.85,2.2,3.0,2.6,2.3,3.15,2.6
D2,26/02/01,Hannover,Osnabruck,1,1,D,0,0,D,6000.0,Jrg Kessler ,14.0,14.0,3.0,5.0,1.0,1.0,12.0,4.0,15.0,15.0,2.0,0.0,1.0,3.0,0.0,0.0,10.0,30.0,1.55,3.4,5.0,1.55,3.3,4.5,1.65,3.3,4.3
D2,28/02/01,Mainz,Duisburg,1,0,H,1,0,H,4576.0,Knut Kircher ,14.0,4.0,9.0,3.0,1.0,0.0,3.0,4.0,20.0,16.0,6.0,2.0,2.0,2.0,0.0,0.0,20.0,20.0,2.65,3.0,2.35,2.3,2.8,2.6,2.7,3.0,2.3
D2,15/10/00,Oberhausen,Osnabruck,5,2,H,1,0,H,5351.0,Stefan Kammerer ,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.61,3.45,4.75,1.6,3.2,4.2,1.6,3.3,4.8
D2,27/10/00,Reutlingen,Bielefeld,3,2,H,2,1,H,8000.0,Stefan Weber ,,,,,,,,,,,,,1.0,2.0,0.0,0.0,10.0,20.0,2.4,3.1,2.65,2.3,2.9,2.5,2.35,2.9,2.7
D2,28/02/01,Aachen,Stuttgarter K,3,0,H,0,0,D,7000.0,Thomas Frank ,19.0,1.0,7.0,0.0,0.0,0.0,8.0,0.0,12.0,15.0,3.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.75,3.2,4.0,1.65,3.1,4.0,1.8,3.25,3.6
D2,15/12/00,Ulm,Duisburg,1,3,A,1,2,A,5000.0,Ralf Spker ,,,,,,,,,,,,,1.0,3.0,0.0,0.0,10.0,30.0,2.3,3.0,2.8,2.1,2.9,2.9,2.35,2.9,2.7
D2,02/12/00,Saarbrucken,Stuttgarter K,1,0,H,0,0,D,6000.0,Stefan Weber ,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,30.0,1.7,3.2,4.5,1.75,3.1,3.6,1.75,3.2,3.9
D2,14/12/00,St Pauli,Nurnberg,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,2.45,3.05,2.55,2.3,2.8,2.6,2.6,2.85,2.5
