Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E3,19/10/02,Darlington,Boston,2,3,A,0,1,A,S Baines,15.0,8.0,7.0,7.0,20.0,16.0,4.0,4.0,0.0,1.0,0.0,0.0,1.833,3.25,3.75,1.8,3.3,3.85,1.8,3.1,3.4,1.73,3.4,4.0,1.8,3.25,4.0,1.75,3.25,4.0,1.83,3.3,3.6
E3,05/10/02,Swansea,Rochdale,1,1,D,1,0,H,R Styles,8.0,4.0,1.0,3.0,9.0,11.0,5.0,5.0,3.0,2.0,0.0,1.0,2.8,3.25,2.2,2.8,3.3,2.25,2.6,3.0,2.2,2.8,3.2,2.2,2.8,3.25,2.2,2.75,3.25,2.25,2.75,3.2,2.25
E3,21/04/03,York,Kidderminster,0,0,D,0,0,D,M Cowburn,10.0,10.0,5.0,5.0,9.0,15.0,7.0,8.0,1.0,3.0,0.0,0.0,1.727,3.6,3.75,1.8,3.4,3.75,1.75,3.1,3.6,1.8,3.25,3.75,1.83,3.4,3.6,1.833,3.4,3.6,1.8,3.5,3.5
E3,03/05/03,Oxford,York,2,0,H,1,0,H,C Penton,13.0,5.0,4.0,3.0,17.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,1.615,3.75,4.333,1.7,3.65,4.1,,,,1.571,3.75,4.5,1.62,3.75,4.33,1.615,3.75,4.333,1.66,3.5,4.2
E3,26/10/02,Scunthorpe,Torquay,5,1,H,2,1,H,E Ilderton,16.0,12.0,12.0,9.0,10.0,16.0,2.0,10.0,2.0,1.0,0.0,0.0,1.909,3.25,3.5,2.1,3.3,3.1,2.0,3.0,2.9,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2
E3,07/09/02,Rushden & D,Southend,3,0,H,2,0,H,T Parkes,13.0,10.0,8.0,3.0,12.0,17.0,8.0,1.0,0.0,3.0,0.0,0.0,1.615,3.4,5.0,1.71,3.45,4.5,1.65,3.2,3.9,1.727,3.2,4.333,1.62,3.4,5.0,1.615,3.4,5.0,1.66,3.3,4.5
E3,19/04/03,Scunthorpe,Hartlepool,4,0,H,1,0,H,M Thorpe,14.0,16.0,10.0,6.0,13.0,11.0,4.0,11.0,3.0,2.0,0.0,0.0,2.4,3.2,2.6,2.42,3.25,2.63,2.3,3.0,2.4,2.375,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62
E3,14/12/02,Scunthorpe,Bury,0,1,A,0,0,D,P Joslin,9.0,8.0,6.0,5.0,11.0,19.0,6.0,5.0,1.0,1.0,0.0,0.0,2.2,3.25,2.8,2.1,3.25,3.1,2.0,3.1,2.8,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2
E3,19/04/03,Lincoln,York,1,0,H,1,0,H,E Evans,6.0,8.0,3.0,3.0,11.0,14.0,4.0,5.0,2.0,1.0,1.0,0.0,2.2,3.4,2.75,2.22,3.25,2.9,2.1,3.0,2.8,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8
E3,29/10/02,Swansea,Kidderminster,0,4,A,0,1,A,B Curson,3.0,12.0,1.0,8.0,10.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,2.7,3.2,2.3,2.68,3.25,2.35,2.4,3.0,2.3,2.6,3.2,2.375,2.75,3.25,2.25,2.7,3.2,2.3,2.62,3.1,2.37
E3,13/08/02,Leyton Orient,Macclesfield,3,2,H,3,0,H,A Penn,10.0,3.0,7.0,2.0,12.0,17.0,10.0,3.0,1.0,4.0,0.0,0.0,1.833,3.25,3.75,1.75,3.4,3.95,1.75,3.2,3.5,1.833,3.2,3.75,1.8,3.2,4.0,1.85,3.25,3.75,1.72,3.4,4.0
E3,30/11/02,Hartlepool,Kidderminster,2,1,H,2,0,H,P Prosser,14.0,12.0,10.0,5.0,9.0,18.0,10.0,3.0,1.0,3.0,0.0,0.0,1.667,3.5,4.333,1.67,3.5,4.6,1.7,3.2,3.7,1.73,3.4,4.0,1.67,3.4,4.5,1.667,3.4,4.5,1.72,3.4,4.0
E3,12/10/02,Kidderminster,Macclesfield,0,2,A,0,1,A,C Boyeson,12.0,17.0,7.0,8.0,7.0,11.0,6.0,2.0,0.0,2.0,0.0,0.0,1.727,3.25,4.333,1.69,3.35,4.5,1.65,3.1,4.0,1.73,3.5,3.75,1.73,3.25,4.33,1.727,3.4,4.2,1.66,3.3,4.5
E3,12/10/02,Bristol Rvs,Lincoln,2,0,H,1,0,H,S Bennett,10.0,14.0,8.0,7.0,16.0,16.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.0,2.9,1.91,3.2,3.5,2.2,3.25,2.8,2.2,3.25,2.8,2.0,3.2,3.2
E3,29/04/03,Leyton Orient,Wrexham,0,1,A,0,1,A,M Cooper,11.0,6.0,4.0,2.0,10.0,11.0,4.0,5.0,3.0,1.0,1.0,0.0,2.75,3.25,2.25,2.72,3.4,2.27,2.4,3.0,2.3,2.75,3.25,2.2,2.62,3.2,2.38,2.625,3.2,2.375,2.62,3.2,2.3
E3,29/10/02,Rushden & D,Boston,1,0,H,1,0,H,G Hegley,11.0,17.0,9.0,7.0,10.0,7.0,3.0,8.0,1.0,2.0,0.0,0.0,1.571,3.6,5.0,,,,1.6,3.3,4.0,1.61,3.5,4.5,1.57,3.6,5.0,1.571,3.6,5.0,1.61,3.5,4.5
E3,01/03/03,Darlington,Hartlepool,2,2,D,1,0,H,M Ryan,10.0,15.0,7.0,8.0,17.0,14.0,2.0,6.0,4.0,2.0,1.0,0.0,3.0,3.25,2.1,3.1,3.3,2.1,2.6,3.0,2.2,2.8,3.2,2.2,3.0,3.25,2.1,3.0,3.25,2.1,2.75,3.2,2.25
E3,05/04/03,Macclesfield,Cambridge,1,1,D,1,0,H,A Wiley,10.0,9.0,4.0,5.0,16.0,15.0,4.0,2.0,0.0,2.0,0.0,0.0,2.375,3.2,2.625,2.35,3.2,2.65,2.3,3.0,2.4,2.25,3.4,2.625,2.25,3.25,2.75,2.3,3.3,2.625,2.3,3.2,2.62
E3,19/04/03,Kidderminster,Wrexham,0,2,A,0,1,A,F Stretton,4.0,6.0,1.0,5.0,10.0,5.0,7.0,9.0,3.0,1.0,0.0,0.0,2.5,3.4,2.375,2.52,3.3,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.5,3.4,2.38,2.6,3.4,2.3,2.5,3.25,2.4
E3,14/09/02,Southend,Macclesfield,1,0,H,1,0,H,P Crossley,16.0,17.0,8.0,10.0,7.0,8.0,7.0,11.0,0.0,1.0,0.0,0.0,1.727,3.25,4.333,1.7,3.25,4.5,1.7,3.2,3.7,1.727,3.4,4.0,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.2,4.33
E3,26/10/02,Kidderminster,Cambridge,2,1,H,2,1,H,A Butler,7.0,13.0,5.0,9.0,9.0,15.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,3.25,3.25,2.21,3.3,3.1,2.0,3.0,2.9,1.91,3.25,3.4,2.0,3.25,3.25,1.909,3.4,3.4,2.1,3.2,3.0
E3,22/03/03,Wrexham,York,1,1,D,0,1,A,G Cain,18.0,4.0,10.0,2.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,3.25,3.25,2.0,3.35,3.2,1.9,3.1,3.0,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.25,3.4
E3,21/04/03,Rushden & D,Macclesfield,3,0,H,1,0,H,T Parkes,12.0,8.0,7.0,1.0,7.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,1.4,3.75,7.0,1.5,3.55,6.0,1.45,3.5,5.0,1.4,4.0,6.5,1.36,4.0,7.5,1.364,4.0,7.5,1.44,3.75,6.0
E3,03/05/03,Lincoln,Torquay,1,1,D,0,1,A,I Williamson,19.0,7.0,9.0,4.0,12.0,14.0,11.0,2.0,2.0,1.0,0.0,0.0,1.571,3.6,5.0,1.63,3.27,5.35,,,,1.444,3.6,6.5,1.62,3.2,5.5,1.615,3.2,5.5,1.61,3.1,5.5
E3,19/10/02,Rushden & D,Bury,0,1,A,0,1,A,M Thorpe,17.0,10.0,5.0,5.0,8.0,14.0,9.0,4.0,0.0,2.0,0.0,0.0,1.571,3.4,5.5,1.55,3.5,5.3,1.55,3.4,4.3,1.67,3.4,4.33,1.67,3.4,4.5,1.615,3.4,4.75,1.61,3.3,5.0
E3,13/08/02,Darlington,Swansea,2,2,D,0,0,D,E Evans,8.0,6.0,4.0,3.0,13.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,1.8,3.25,4.0,1.85,3.25,3.7,1.85,3.1,3.2,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.25,3.4
E3,11/01/03,Scunthorpe,Leyton Orient,2,1,H,1,1,D,R Pearson,11.0,5.0,8.0,3.0,13.0,8.0,10.0,7.0,1.0,2.0,0.0,0.0,2.8,3.25,2.2,3.05,3.4,2.05,2.8,3.0,2.1,2.75,3.2,2.25,3.0,3.25,2.1,3.0,3.25,2.1,2.75,3.25,2.2
E3,10/08/02,Macclesfield,York,1,1,D,1,0,H,P Joslin,9.0,6.0,5.0,3.0,16.0,12.0,9.0,8.0,2.0,3.0,0.0,0.0,2.1,3.25,3.0,2.28,3.3,2.7,2.2,3.0,2.6,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.25,2.7
E3,22/02/03,Rochdale,Carlisle,0,1,A,0,0,D,R Beeby,15.0,15.0,9.0,12.0,7.0,15.0,2.0,8.0,1.0,0.0,0.0,0.0,1.8,3.25,4.0,1.8,3.35,4.0,1.75,3.2,3.5,1.73,3.4,4.0,1.73,3.4,4.0,1.75,3.4,4.0,1.8,3.3,3.75
E3,10/08/02,Rochdale,Leyton Orient,1,0,H,0,0,D,E Ilderton,10.0,11.0,6.0,5.0,10.0,18.0,5.0,7.0,1.0,1.0,0.0,0.0,1.727,3.5,4.0,1.73,3.4,4.25,1.7,3.2,3.7,1.727,3.4,4.0,,,,1.8,3.25,4.0,1.72,3.4,4.0
E3,01/04/03,Oxford,Carlisle,0,0,D,0,0,D,J Ross,8.0,11.0,3.0,5.0,15.0,17.0,3.0,8.0,3.0,4.0,0.0,0.0,1.66,3.5,4.33,1.75,3.4,4.0,1.7,3.2,3.7,1.83,3.2,3.75,1.67,3.5,4.33,1.67,3.5,4.33,1.72,3.4,4.0
E3,26/10/02,Oxford,Shrewsbury,2,2,D,2,2,D,J Ross,12.0,11.0,8.0,7.0,18.0,15.0,6.0,6.0,1.0,3.0,1.0,0.0,1.727,3.5,4.0,1.7,3.4,4.5,1.7,3.2,3.7,1.67,3.4,4.33,1.73,3.25,4.33,1.7,3.4,4.333,1.72,3.25,4.2
E3,26/04/03,Bristol Rvs,Darlington,2,1,H,1,0,H,A Bates,8.0,8.0,2.0,1.0,16.0,9.0,5.0,6.0,1.0,2.0,0.0,0.0,1.727,3.5,4.0,1.75,3.45,4.1,1.8,2.9,3.6,1.571,3.75,4.5,1.73,4.0,3.4,1.7,3.25,4.333,1.83,3.3,3.6
