Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
SC2,29/09/01,Forfar,Berwick,2.0,1.0,H,0.0,0.0,D,380.0,B. W. Cassidy,10.0,8.0,6.0,4.0,0.0,0.0,6.0,4.0,9.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,1.91,3.75,3.0,2.0,3.4,3.0
SC2,04/08/01,Hamilton,Queen of Sth,1.0,1.0,D,0.0,1.0,A,3192.0,E. D. Mack,14.0,4.0,4.0,2.0,0.0,0.0,6.0,4.0,12.0,13.0,0.0,6.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,1.73,3.5,3.75,1.8,3.6,3.4,1.9,3.4,3.25
SC2,09/02/02,Stranraer,Forfar,0.0,3.0,A,0.0,2.0,A,314.0,"Melville, C. J.",10.0,14.0,3.0,7.0,0.0,0.0,3.0,4.0,7.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,2.1,3.5,2.75,2.1,3.5,2.75,2.1,3.5,2.75,2.2,3.5,2.62
SC2,16/02/02,Cowdenbeath,Berwick,1.0,1.0,D,1.0,0.0,H,366.0,"Conroy, S",9.0,8.0,3.0,3.0,0.0,0.0,3.0,6.0,16.0,10.0,3.0,3.0,4.0,3.0,0.0,0.0,40.0,30.0,2.35,3.25,2.62,2.5,3.5,2.25,2.375,3.25,2.5,2.37,3.5,2.37
SC2,27/04/02,Cowdenbeath,Hamilton,2.0,1.0,H,1.0,0.0,H,412.0,"Somers, D.",8.0,9.0,4.0,3.0,1.0,0.0,5.0,4.0,14.0,13.0,3.0,1.0,3.0,4.0,0.0,0.0,30.0,40.0,2.3,3.3,2.65,2.375,3.5,2.375,2.375,3.25,2.5,2.375,3.5,2.375
SC2,13/04/02,Clydebank,Forfar,1.0,0.0,H,0.0,0.0,D,201.0,"Thomson, G",14.0,4.0,6.0,1.0,1.0,0.0,7.0,1.0,18.0,17.0,4.0,8.0,3.0,0.0,0.0,1.0,30.0,25.0,2.5,3.35,2.4,2.75,3.5,2.1,2.6,3.5,2.2,2.75,3.5,2.1
SC2,16/02/02,Alloa,Morton,4.0,0.0,H,2.0,0.0,H,657.0,"Gilmore, J",10.0,11.0,7.0,7.0,0.0,0.0,4.0,7.0,7.0,9.0,6.0,5.0,0.0,1.0,0.0,1.0,0.0,35.0,1.73,3.5,4.0,1.73,3.5,3.75,1.667,3.6,4.0,1.72,3.6,3.75
SC2,27/02/02,Stenhousemuir,Forfar,1.0,1.0,D,0.0,1.0,A,423.0,"Hardie, C.",10.0,11.0,8.0,4.0,0.0,0.0,5.0,6.0,7.0,6.0,2.0,7.0,2.0,0.0,0.0,1.0,20.0,25.0,2.38,3.3,2.55,2.37,3.5,2.37,2.375,3.25,2.5,2.4,3.4,2.4
SC2,02/03/02,Forfar,Hamilton,1.0,4.0,A,1.0,3.0,A,445.0,"Clyde, G. T.",9.0,10.0,2.0,7.0,0.0,0.0,7.0,6.0,5.0,10.0,2.0,5.0,1.0,3.0,0.0,0.0,10.0,30.0,2.2,3.3,2.7,2.2,3.5,2.62,,,,2.25,3.4,2.6
SC2,04/08/01,Stranraer,Cowdenbeath,3.0,0.0,H,1.0,0.0,H,682.0,D.Branes,15.0,10.0,4.0,2.0,1.0,0.0,4.0,7.0,11.0,13.0,6.0,0.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,1.91,3.5,3.2,1.8,3.6,3.4,1.8,3.6,3.4
SC2,06/04/02,Stenhousemuir,Cowdenbeath,0.0,1.0,A,0.0,0.0,D,423.0,"Thompson, C",13.0,14.0,5.0,9.0,2.0,0.0,8.0,10.0,13.0,10.0,4.0,5.0,3.0,0.0,0.0,0.0,30.0,0.0,2.32,3.55,2.4,2.2,3.5,2.62,2.25,3.6,2.5,2.37,3.5,2.37
SC2,09/02/02,Stenhousemuir,Clydebank,0.0,0.0,D,0.0,0.0,D,321.0,"Orr, R.",2.0,13.0,1.0,7.0,0.0,0.0,3.0,5.0,12.0,12.0,6.0,14.0,1.0,0.0,0.0,0.0,10.0,0.0,2.75,3.5,2.1,2.75,3.5,2.1,2.625,3.4,2.2,2.87,3.6,2.0
SC2,26/01/02,Cowdenbeath,Queen of Sth,1.0,2.0,A,1.0,1.0,D,410.0,"Summers, D",7.0,8.0,2.0,4.0,1.0,0.0,3.0,3.0,9.0,13.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,2.6,3.1,2.4,2.5,3.5,2.25,2.5,3.25,2.375,2.75,3.2,2.25
SC2,11/08/01,Clydebank,Hamilton,3.0,2.0,H,1.0,2.0,A,353.0,C Thompson,7.0,8.0,6.0,5.0,0.0,0.0,6.0,9.0,13.0,19.0,5.0,2.0,0.0,3.0,0.0,1.0,0.0,55.0,,,,2.2,3.25,2.75,2.2,3.5,2.6,2.2,3.5,2.62
SC2,16/03/02,Berwick,Stranraer,4.0,1.0,H,0.0,0.0,D,424.0,"Brines, I",14.0,11.0,9.0,6.0,0.0,1.0,4.0,4.0,15.0,13.0,5.0,7.0,1.0,1.0,0.0,0.0,10.0,10.0,2.25,3.4,2.55,2.1,3.5,2.75,2.2,3.25,2.75,2.2,3.25,2.75
SC2,06/10/01,Alloa,Berwick,2.0,2.0,D,1.0,2.0,A,492.0,C Thompson,13.0,14.0,6.0,5.0,2.0,1.0,3.0,5.0,6.0,21.0,1.0,2.0,3.0,7.0,0.0,1.0,30.0,95.0,,,,,,,1.53,3.6,5.0,1.53,3.6,5.0
SC2,08/09/01,Clydebank,Morton,3.0,2.0,H,0.0,1.0,A,1148.0,"Conroy, S.",8.0,9.0,4.0,5.0,0.0,0.0,6.0,6.0,16.0,17.0,8.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,2.1,3.5,2.75,1.9,3.75,3.0
SC2,27/04/02,Alloa,Stranraer,0.0,0.0,D,0.0,0.0,D,613.0,"Thompson, C",9.0,11.0,7.0,8.0,0.0,0.0,2.0,8.0,12.0,10.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,1.7,3.65,4.0,1.727,3.5,3.75,1.727,3.4,4.0,1.8,3.4,3.6
